logEC50,smile,Cation,Anion
4.2275,CC(=O)[O-].CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,CC(=O)[O-]
2.78,CCCC[N+]1(C)CCOCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCCC[N+]1(C)CCOCC1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
3.6,CCCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21,CCCCOC[n+]1cccc(O)c1,O=C1[N-]S(=O)(=O)c2ccccc21
-0.03,CCCCCCCC[n+]1cccc2ccccc21.[Br-],CCCCCCCC[n+]1cccc2ccccc21,[Br-]
3.250210001,COCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.247756334,CCCC(=O)[O-].OCC[NH2+]CCO,OCC[NH2+]CCO,CCCC(=O)[O-]
2.03,CC[n+]1ccn(C)c1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CC[n+]1ccn(C)c1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
2.22,CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,CC[n+]1ccn(C)c1,Cc1ccc(S(=O)(=O)[O-])cc1
1.32,CCCC[P+](CCCC)(CCCC)CCCC.c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,CCCC[P+](CCCC)(CCCC)CCCC,c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1
1.915,CCCC[n+]1ccn(C)c1.[Cl-],CCCC[n+]1ccn(C)c1,[Cl-]
2.06,CC[n+]1ccn(C)c1.[Cl-],CC[n+]1ccn(C)c1,[Cl-]
2.89,CN(C)c1cc[n+](C)cc1.[I-],CN(C)c1cc[n+](C)cc1,[I-]
1.945,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
2.85,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,[Br-]
3.06,C[n+]1ccn(CCCO)c1.O=C([O-])CF,C[n+]1ccn(CCCO)c1,O=C([O-])CF
1.9,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]
1.955,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,CCCC[n+]1ccn(C)c1,N#C[N-]C#N
