"T","P",SMILES,co2,Cation,Anion
303.2,1060.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.311,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
283.1,500.4,CC[NH3+].O=[N+]([O-])[O-],0.034,CC[NH3+],O=[N+]([O-])[O-]
323.15,1993.0,CCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.2296,CCCCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
313.15,1900.7,CCC[N+](C)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,0.282,CCC[N+](C)(CC)CC,O=S(=O)(F)[N-]S(=O)(=O)F
313.15,2000.0,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.1539,CC[n+]1ccn(C)c1,F[B-](F)(F)F
293.15,999.4,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.27474,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,1500.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.159,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
293.1,3500.0,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.573,CC[n+]1ccn(C)c1,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-]
333.3,99.5,C[NH+]1C=CN(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0,C[NH+]1C=CN(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
293.15,1850.0,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.2614,CCCCn1cc[n+](C)c1,F[B-](F)(F)F
298.15,4014.8,CC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,0.618,CC[n+]1ccn(C)c1,N#C[B-](C#N)(C#N)C#N
303.4,14600.0,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,0.854,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C
313.24,2299.0,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.2992,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F
313.5,14990.0,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,0.602,CCCC[N+]1(C)CCCC1,N#C[N-]C#N
338.2,3873.3,CCCC[n+]1ccn(C)c1.N#CC(C#N)C#N,0.3,CCCC[n+]1ccn(C)c1,N#CC(C#N)C#N
373.15,18000.0,CCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7195,CCCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,1699.9,CCC[N+]1(C)CCCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.25,CCC[N+]1(C)CCCCC1,O=S(=O)(F)[N-]S(=O)(=O)F
353.0,9740.0,CCCC(=O)[O-].C[NH2+]CCO,0.394,C[NH2+]CCO,CCCC(=O)[O-]
